id,occupancy_date,week_no,organization_name,shelter_name,shelter_city,facility_name,sector,occupancy,capacity
1,01/01/2017,1,COSTI Immigrant Services,COSTI Reception Centre,Toronto,COSTI Reception Centre,Co-ed,16,16
2,01/01/2017,1,Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,Toronto,Christie Ossington Men's Hostel,Men,13,17
3,01/01/2017,1,Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,Toronto,Christie Ossington Men's Hostel,Men,63,63
4,01/01/2017,1,"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Toronto,Christie Refugee Welcome Centre,Families,66,70
5,01/01/2017,1,City of Toronto,Birchmount Residence,Toronto,Birchmount Res 1673 Kingston Rd,Men,58,60
6,01/01/2017,1,City of Toronto,Birkdale Residence,Toronto,Birkdale Residence,Families,168,160
7,01/01/2017,1,City of Toronto,Birkdale Residence,Toronto,Birkdale Residence Motel (Fam),Families,119,150
8,01/01/2017,1,City of Toronto,Downsview Dells,Toronto,Downsview Dells 1651 Sheppard W,Men,23,28
9,01/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - AL site,Families,8,0
10,01/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - CoEd Building,Co-ed,14,40
11,01/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - GA Site,Families,0,0
12,01/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - ID Site,Families,0,0
13,01/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - LI Site,Families,173,252
14,01/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - MA Site,Families,22,48
15,01/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - Main Building,Families,148,110
16,01/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - Roycroft Site,Families,42,50
17,01/01/2017,1,City of Toronto,Family Residence,Toronto,Family Residence - TO,Families,60,20
18,01/01/2017,1,City of Toronto,Fort York Residence,Toronto,Fort York Res 38 Bathurst St.,Men,0,19
19,01/01/2017,1,City of Toronto,Fort York Residence,Toronto,Fort York Res 38 Bathurst St.,Men,74,74
20,01/01/2017,1,City of Toronto,Fort York Residence,Toronto,Fort York Res 38 Bathurst St.,Men,24,24
21,01/01/2017,1,City of Toronto,Robertson House,Toronto,Robertson House,Families,111,90
22,01/01/2017,1,City of Toronto,S2H Assessment and Referral Ctre,Toronto,COTA,Men,2,2
23,01/01/2017,1,City of Toronto,S2H Assessment and Referral Ctre,Toronto,S2H Assessment and Referral Ctre,Co-ed,35,40
24,01/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,28,28
25,01/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,27,27
26,01/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,78,100
27,01/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,231,240
28,01/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,10,42
29,01/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,90,100
30,01/01/2017,1,City of Toronto,Women's Residence,Toronto,Womens' Res - 63 Bellwoods Ave.,Women,9,10
31,01/01/2017,1,City of Toronto,Women's Residence,Toronto,Womens' Res - 674 Dundas St. W,Women,13,13
32,01/01/2017,1,City of Toronto,Women's Residence,Toronto,Womens' Res - 674 Dundas St. W,Women,102,103
33,01/01/2017,1,Cornerstone Place,Cornerstone Place,Toronto,Cornerstone 616 Vaughan Rd.,Men,50,50
34,01/01/2017,1,Covenant House Toronto,Covenant House,Toronto,Covenant House-20 Gerrard St. E.,Youth,1,2
35,01/01/2017,1,Covenant House Toronto,Covenant House,Toronto,Covenant House-20 Gerrard St. E.,Youth,86,94
36,01/01/2017,1,Covenant House Toronto,Covenant House,Toronto,Covenant House-21 McGill Street,Youth,27,28
37,01/01/2017,1,Dixon Hall,Dixon Hall - Heyworth House,Toronto,Dixon Hall - Heyworth House,Co-ed,9,9
38,01/01/2017,1,Dixon Hall,Dixon Hall - Heyworth House,Toronto,Dixon Hall - Heyworth House,Co-ed,74,74
39,01/01/2017,1,Dixon Hall,Dixon Hall - Schoolhouse,Toronto,Dixon Hall-School House,Men,44,44
40,01/01/2017,1,Eva's Initiatives,Eva's Phoenix,Toronto,Eva's Phoenix,Youth,49,50
41,01/01/2017,1,Eva's Initiatives,Eva's Place,North York,Eva's Place,Youth,39,40
42,01/01/2017,1,Eva's Initiatives,Eva's Satellite,North York,Eva's Satellite,Youth,32,32
43,01/01/2017,1,Eva's Initiatives,Eva's Satellite,North York,Eva's Satellite,Youth,1,1
44,01/01/2017,1,Fife House Foundation,Fife House Transitional Program,Toronto,Fife House - Denison Program,Co-ed,4,5
45,01/01/2017,1,Fife House Foundation,Fife House Transitional Program,Toronto,Fife-Sherbourne Transitional Pgm,Co-ed,10,11
46,01/01/2017,1,Fred Victor Centre,FV Women's Transition to Housing,Toronto,Fred Victor 389 Church Street,Women,23,23
47,01/01/2017,1,Fred Victor Centre,FV Women's Transition to Housing,Toronto,Fred Victor T2H 386 Dundas St. E,Women,37,37
48,01/01/2017,1,Fred Victor Centre,Fred Victor Women's Hostel,Toronto,FV Women's Hostel 86 Lombard,Women,4,4
49,01/01/2017,1,Fred Victor Centre,Fred Victor Women's Hostel,Toronto,FV Women's Hostel 86 Lombard,Women,40,42
50,01/01/2017,1,Fred Victor Centre,"Fred Victor, BUS",Toronto,Fred Victor BUS - 1161 Caledonia,Co-ed,9,10
51,01/01/2017,1,Fred Victor Centre,"Fred Victor, BUS",Toronto,Fred Victor BUS - 1161 Caledonia,Co-ed,60,60
